__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-03-11,US,United States,techsoftware,Software Development,NEW,110.71
HiringLabSectoralPosting,2020-03-12,US,United States,math,Data & Analytics,NEW,97.87
HiringLabSectoralPosting,2020-03-12,US,United States,project,Project Management,NEW,99.05
HiringLabSectoralPosting,2020-03-12,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,100.25
HiringLabSectoralPosting,2020-03-12,US,United States,techinfo,IT Systems & Solutions,NEW,99.75
HiringLabSectoralPosting,2020-03-12,US,United States,techsoftware,Software Development,NEW,109.38
HiringLabSectoralPosting,2020-03-13,US,United States,math,Data & Analytics,NEW,97.49
HiringLabSectoralPosting,2020-03-13,US,United States,project,Project Management,NEW,98.31
HiringLabSectoralPosting,2020-03-13,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,99.66
HiringLabSectoralPosting,2020-03-13,US,United States,techinfo,IT Systems & Solutions,NEW,98.66
HiringLabSectoralPosting,2020-03-13,US,United States,techsoftware,Software Development,NEW,108.11
HiringLabSectoralPosting,2020-03-14,US,United States,math,Data & Analytics,NEW,97
HiringLabSectoralPosting,2020-03-14,US,United States,project,Project Management,NEW,97.62
HiringLabSectoralPosting,2020-03-14,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,98.5
HiringLabSectoralPosting,2020-03-14,US,United States,techinfo,IT Systems & Solutions,NEW,97.36
HiringLabSectoralPosting,2020-03-14,US,United States,techsoftware,Software Development,NEW,106.81
HiringLabSectoralPosting,2020-03-15,US,United States,math,Data & Analytics,NEW,96.36
HiringLabSectoralPosting,2020-03-15,US,United States,project,Project Management,NEW,96.76
HiringLabSectoralPosting,2020-03-15,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,97.46
HiringLabSectoralPosting,2020-03-15,US,United States,techinfo,IT Systems & Solutions,NEW,96.35
HiringLabSectoralPosting,2020-03-15,US,United States,techsoftware,Software Development,NEW,105.7
HiringLabSectoralPosting,2020-03-16,US,United States,math,Data & Analytics,NEW,95.81
HiringLabSectoralPosting,2020-03-16,US,United States,project,Project Management,NEW,95.86
HiringLabSectoralPosting,2020-03-16,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,96.85
HiringLabSectoralPosting,2020-03-16,US,United States,techinfo,IT Systems & Solutions,NEW,95.36
HiringLabSectoralPosting,2020-03-16,US,United States,techsoftware,Software Development,NEW,105.09
HiringLabSectoralPosting,2020-03-17,US,United States,math,Data & Analytics,NEW,93.8
HiringLabSectoralPosting,2020-03-17,US,United States,project,Project Management,NEW,94.42
HiringLabSectoralPosting,2020-03-17,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,94.98
HiringLabSectoralPosting,2020-03-17,US,United States,techinfo,IT Systems & Solutions,NEW,94.42
HiringLabSectoralPosting,2020-03-17,US,United States,techsoftware,Software Development,NEW,103.65
HiringLabSectoralPosting,2020-03-18,US,United States,math,Data & Analytics,NEW,90.72
HiringLabSectoralPosting,2020-03-18,US,United States,project,Project Management,NEW,91.84
HiringLabSectoralPosting,2020-03-18,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,92.41
HiringLabSectoralPosting,2020-03-18,US,United States,techinfo,IT Systems & Solutions,NEW,92.57
HiringLabSectoralPosting,2020-03-18,US,United States,techsoftware,Software Development,NEW,102.09
HiringLabSectoralPosting,2020-03-19,US,United States,math,Data & Analytics,NEW,86.58
HiringLabSectoralPosting,2020-03-19,US,United States,project,Project Management,NEW,88.21
HiringLabSectoralPosting,2020-03-19,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,88.79
HiringLabSectoralPosting,2020-03-19,US,United States,techinfo,IT Systems & Solutions,NEW,89.91
HiringLabSectoralPosting,2020-03-19,US,United States,techsoftware,Software Development,NEW,100.29
HiringLabSectoralPosting,2020-03-20,US,United States,math,Data & Analytics,NEW,82.68
HiringLabSectoralPosting,2020-03-20,US,United States,project,Project Management,NEW,83.98
HiringLabSectoralPosting,2020-03-20,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,84.48
HiringLabSectoralPosting,2020-03-20,US,United States,techinfo,IT Systems & Solutions,NEW,86.52
HiringLabSectoralPosting,2020-03-20,US,United States,techsoftware,Software Development,NEW,97.88
HiringLabSectoralPosting,2020-03-21,US,United States,math,Data & Analytics,NEW,78.2
HiringLabSectoralPosting,2020-03-21,US,United States,project,Project Management,NEW,79.36
HiringLabSectoralPosting,2020-03-21,US,United States,techhelp,"IT Infrastructure, Operations & Support",NEW,80.42
HiringLabSectoralPosting,2020-03-21,US,United States,techinfo,IT Systems & Solutions,NEW,82.7
